logFC,logCPM,LR,PValue,FDR,gene
-1.6380213159540182,2.7797675262576664,13.267045672765747,2.701125437725094e-4,0.007266233620262009,INSL4
-1.5791011799177381,3.9960468658055577,13.194343304621597,2.8079537664839094e-4,0.007496385661431285,TMEM238
2.325664229569328,3.7474024673413187,13.177910828468695,2.832683803412618e-4,0.00750554716032035,CDKN1C
1.9150781168012592,2.386897023160875,13.055920531624874,3.0232720875630377e-4,0.007950754355650855,TNFAIP6
-2.757846084389137,3.974140281269203,12.963276499964696,3.176607556693597e-4,0.008292122244287582,SPRR2E
-2.3126635956802217,0.9253157479940506,12.930616144175351,3.2325136684619414e-4,0.008376013358573442,MYL7
0.7393084779452308,7.099522457541737,12.769074397239898,3.523971688570058e-4,0.00906458119016123,GNG11
-0.6772328189021579,8.354915093872084,12.633939689553983,3.788060066185197e-4,0.009673278024084518,TMEM250
2.954040453207113,1.9149189012677208,12.53557294037894,3.9927716534807667e-4,0.010122681515731095,C4B_2
-0.6508198737196537,8.373265101106028,12.470970940172748,4.13325196114821e-4,0.01032238792457991,DUSP14
1.0538809989945663,5.013743833760133,12.464754119868207,4.1470310542624026e-4,0.01032238792457991,GCNT4
-1.4810382442208525,1.8675021733976953,12.454777465751715,4.1692404533732753e-4,0.01032238792457991,C2CD4D
0.6137128381710862,8.456173106481923,12.446075494932842,4.188710196410122e-4,0.01032238792457991,LIX1L
-0.7951823564714501,6.7263882080172115,12.40127612404439,4.290405458282312e-4,0.01049957557985199,PRRG4
-0.6387927953573822,8.573087918601324,12.329742652967681,4.4579786183217274e-4,0.010834425276528116,ALKBH5
0.7916666534140525,7.020320421132585,12.285859072475176,4.564032651896875e-4,0.010944065502803083,ARRDC3
-1.0162077729977526,6.823824435576217,12.285380455032737,4.5652032602498677e-4,0.010944065502803083,LIF
-1.4658849041221649,2.0656726053082073,12.250585975293887,4.651120753626439e-4,0.011074695632283494,DLX3
-1.5107696959851362,3.3392076621056077,12.218477550769855,4.731852823784796e-4,0.011158538702521611,SLC28A3
-2.5530808113994374,0.4764970695327952,12.21146910451374,4.749661763275374e-4,0.011158538702521611,CALB2
2.46780790784647,-0.009321190770807963,12.196441191092418,4.7880770845282547e-4,0.011174293805216933,GOLGA8T
